ID,Usage,store_id,sku_id,date,proposed_price
1,Private,1,100000,14/08/2025,0.0
2,Private,1,100000,15/08/2025,0.0
3,Private,1,100000,16/08/2025,0.0
4,Private,1,100000,17/08/2025,0.0
5,Private,1,100000,18/08/2025,0.0
6,Private,1,100000,19/08/2025,0.0
7,Private,1,100000,20/08/2025,0.0
8,Private,1,100000,21/08/2025,0.0
9,Private,1,100000,22/08/2025,0.0
10,Private,1,100000,23/08/2025,0.0
11,Public,1,100000,24/08/2025,0.0
12,Public,1,100000,25/08/2025,0.0
13,Public,1,100000,26/08/2025,0.0
14,Public,1,100000,27/08/2025,0.0
15,Private,1,100001,14/08/2025,0.0
16,Private,1,100001,15/08/2025,0.0
17,Private,1,100001,16/08/2025,0.0
18,Private,1,100001,17/08/2025,0.0
19,Private,1,100001,18/08/2025,0.0
20,Private,1,100001,19/08/2025,0.0
21,Private,1,100001,20/08/2025,0.0
22,Private,1,100001,21/08/2025,0.0
23,Private,1,100001,22/08/2025,0.0
24,Private,1,100001,23/08/2025,0.0
25,Public,1,100001,24/08/2025,0.0
26,Public,1,100001,25/08/2025,0.0
27,Public,1,100001,26/08/2025,0.0
28,Public,1,100001,27/08/2025,0.0
29,Private,1,100002,14/08/2025,0.0
30,Private,1,100002,15/08/2025,0.0
31,Private,1,100002,16/08/2025,0.0
32,Private,1,100002,17/08/2025,0.0
33,Private,1,100002,18/08/2025,0.0
34,Private,1,100002,19/08/2025,0.0
35,Private,1,100002,20/08/2025,0.0
36,Private,1,100002,21/08/2025,0.0
37,Private,1,100002,22/08/2025,0.0
38,Private,1,100002,23/08/2025,0.0
39,Public,1,100002,24/08/2025,0.0
40,Public,1,100002,25/08/2025,0.0
41,Public,1,100002,26/08/2025,0.0
42,Public,1,100002,27/08/2025,0.0
43,Private,1,100003,14/08/2025,0.0
44,Private,1,100003,15/08/2025,0.0
45,Private,1,100003,16/08/2025,0.0
46,Private,1,100003,17/08/2025,0.0
47,Private,1,100003,18/08/2025,0.0
48,Private,1,100003,19/08/2025,0.0
49,Private,1,100003,20/08/2025,0.0
50,Private,1,100003,21/08/2025,0.0
51,Private,1,100003,22/08/2025,0.0
52,Private,1,100003,23/08/2025,0.0
53,Public,1,100003,24/08/2025,0.0
54,Public,1,100003,25/08/2025,0.0
55,Public,1,100003,26/08/2025,0.0
56,Public,1,100003,27/08/2025,0.0
57,Private,1,100004,14/08/2025,0.0
58,Private,1,100004,15/08/2025,0.0
59,Private,1,100004,16/08/2025,0.0
60,Private,1,100004,17/08/2025,0.0
61,Private,1,100004,18/08/2025,0.0
62,Private,1,100004,19/08/2025,0.0
63,Private,1,100004,20/08/2025,0.0
64,Private,1,100004,21/08/2025,0.0
65,Private,1,100004,22/08/2025,0.0
66,Private,1,100004,23/08/2025,0.0
67,Public,1,100004,24/08/2025,0.0
68,Public,1,100004,25/08/2025,0.0
69,Public,1,100004,26/08/2025,0.0
70,Public,1,100004,27/08/2025,0.0
71,Private,1,100005,14/08/2025,0.0
72,Private,1,100005,15/08/2025,0.0
73,Private,1,100005,16/08/2025,0.0
74,Private,1,100005,17/08/2025,0.0
75,Private,1,100005,18/08/2025,0.0
76,Private,1,100005,19/08/2025,0.0
77,Private,1,100005,20/08/2025,0.0
78,Private,1,100005,21/08/2025,0.0
79,Private,1,100005,22/08/2025,0.0
80,Private,1,100005,23/08/2025,0.0
81,Public,1,100005,24/08/2025,0.0
82,Public,1,100005,25/08/2025,0.0
83,Public,1,100005,26/08/2025,0.0
84,Public,1,100005,27/08/2025,0.0
85,Private,1,100006,14/08/2025,0.0
86,Private,1,100006,15/08/2025,0.0
87,Private,1,100006,16/08/2025,0.0
88,Private,1,100006,17/08/2025,0.0
89,Private,1,100006,18/08/2025,0.0
90,Private,1,100006,19/08/2025,0.0
91,Private,1,100006,20/08/2025,0.0
92,Private,1,100006,21/08/2025,0.0
93,Private,1,100006,22/08/2025,0.0
94,Private,1,100006,23/08/2025,0.0
95,Public,1,100006,24/08/2025,0.0
96,Public,1,100006,25/08/2025,0.0
97,Public,1,100006,26/08/2025,0.0
98,Public,1,100006,27/08/2025,0.0
99,Private,1,100007,14/08/2025,0.0
100,Private,1,100007,15/08/2025,0.0
101,Private,1,100007,16/08/2025,0.0
102,Private,1,100007,17/08/2025,0.0
103,Private,1,100007,18/08/2025,0.0
104,Private,1,100007,19/08/2025,0.0
105,Private,1,100007,20/08/2025,0.0
106,Private,1,100007,21/08/2025,0.0
107,Private,1,100007,22/08/2025,0.0
108,Private,1,100007,23/08/2025,0.0
109,Public,1,100007,24/08/2025,0.0
110,Public,1,100007,25/08/2025,0.0
111,Public,1,100007,26/08/2025,0.0
112,Public,1,100007,27/08/2025,0.0
113,Private,1,100008,14/08/2025,0.0
114,Private,1,100008,15/08/2025,0.0
115,Private,1,100008,16/08/2025,0.0
116,Private,1,100008,17/08/2025,0.0
117,Private,1,100008,18/08/2025,0.0
118,Private,1,100008,19/08/2025,0.0
119,Private,1,100008,20/08/2025,0.0
120,Private,1,100008,21/08/2025,0.0
121,Private,1,100008,22/08/2025,0.0
122,Private,1,100008,23/08/2025,0.0
123,Public,1,100008,24/08/2025,0.0
124,Public,1,100008,25/08/2025,0.0
125,Public,1,100008,26/08/2025,0.0
126,Public,1,100008,27/08/2025,0.0
127,Private,1,100009,14/08/2025,0.0
128,Private,1,100009,15/08/2025,0.0
129,Private,1,100009,16/08/2025,0.0
130,Private,1,100009,17/08/2025,0.0
131,Private,1,100009,18/08/2025,0.0
132,Private,1,100009,19/08/2025,0.0
133,Private,1,100009,20/08/2025,0.0
134,Private,1,100009,21/08/2025,0.0
135,Private,1,100009,22/08/2025,0.0
136,Private,1,100009,23/08/2025,0.0
137,Public,1,100009,24/08/2025,0.0
138,Public,1,100009,25/08/2025,0.0
139,Public,1,100009,26/08/2025,0.0
140,Public,1,100009,27/08/2025,0.0
141,Private,1,100010,14/08/2025,0.0
142,Private,1,100010,15/08/2025,0.0
143,Private,1,100010,16/08/2025,0.0
144,Private,1,100010,17/08/2025,0.0
145,Private,1,100010,18/08/2025,0.0
146,Private,1,100010,19/08/2025,0.0
147,Private,1,100010,20/08/2025,0.0
148,Private,1,100010,21/08/2025,0.0
149,Private,1,100010,22/08/2025,0.0
150,Private,1,100010,23/08/2025,0.0
151,Public,1,100010,24/08/2025,0.0
152,Public,1,100010,25/08/2025,0.0
153,Public,1,100010,26/08/2025,0.0
154,Public,1,100010,27/08/2025,0.0
155,Private,1,100011,14/08/2025,0.0
156,Private,1,100011,15/08/2025,0.0
157,Private,1,100011,16/08/2025,0.0
158,Private,1,100011,17/08/2025,0.0
159,Private,1,100011,18/08/2025,0.0
160,Private,1,100011,19/08/2025,0.0
161,Private,1,100011,20/08/2025,0.0
162,Private,1,100011,21/08/2025,0.0
163,Private,1,100011,22/08/2025,0.0
164,Private,1,100011,23/08/2025,0.0
165,Public,1,100011,24/08/2025,0.0
166,Public,1,100011,25/08/2025,0.0
167,Public,1,100011,26/08/2025,0.0
168,Public,1,100011,27/08/2025,0.0
169,Private,1,100012,14/08/2025,0.0
170,Private,1,100012,15/08/2025,0.0
171,Private,1,100012,16/08/2025,0.0
172,Private,1,100012,17/08/2025,0.0
173,Private,1,100012,18/08/2025,0.0
174,Private,1,100012,19/08/2025,0.0
175,Private,1,100012,20/08/2025,0.0
176,Private,1,100012,21/08/2025,0.0
177,Private,1,100012,22/08/2025,0.0
178,Private,1,100012,23/08/2025,0.0
179,Public,1,100012,24/08/2025,0.0
180,Public,1,100012,25/08/2025,0.0
181,Public,1,100012,26/08/2025,0.0
182,Public,1,100012,27/08/2025,0.0
183,Private,1,100013,14/08/2025,0.0
184,Private,1,100013,15/08/2025,0.0
185,Private,1,100013,16/08/2025,0.0
186,Private,1,100013,17/08/2025,0.0
187,Private,1,100013,18/08/2025,0.0
188,Private,1,100013,19/08/2025,0.0
189,Private,1,100013,20/08/2025,0.0
190,Private,1,100013,21/08/2025,0.0
191,Private,1,100013,22/08/2025,0.0
192,Private,1,100013,23/08/2025,0.0
193,Public,1,100013,24/08/2025,0.0
194,Public,1,100013,25/08/2025,0.0
195,Public,1,100013,26/08/2025,0.0
196,Public,1,100013,27/08/2025,0.0
197,Private,1,100014,14/08/2025,0.0
198,Private,1,100014,15/08/2025,0.0
199,Private,1,100014,16/08/2025,0.0
200,Private,1,100014,17/08/2025,0.0
201,Private,1,100014,18/08/2025,0.0
202,Private,1,100014,19/08/2025,0.0
203,Private,1,100014,20/08/2025,0.0
204,Private,1,100014,21/08/2025,0.0
205,Private,1,100014,22/08/2025,0.0
206,Private,1,100014,23/08/2025,0.0
207,Public,1,100014,24/08/2025,0.0
208,Public,1,100014,25/08/2025,0.0
209,Public,1,100014,26/08/2025,0.0
210,Public,1,100014,27/08/2025,0.0
211,Private,1,100015,14/08/2025,0.0
212,Private,1,100015,15/08/2025,0.0
213,Private,1,100015,16/08/2025,0.0
214,Private,1,100015,17/08/2025,0.0
215,Private,1,100015,18/08/2025,0.0
216,Private,1,100015,19/08/2025,0.0
217,Private,1,100015,20/08/2025,0.0
218,Private,1,100015,21/08/2025,0.0
219,Private,1,100015,22/08/2025,0.0
220,Private,1,100015,23/08/2025,0.0
221,Public,1,100015,24/08/2025,0.0
222,Public,1,100015,25/08/2025,0.0
223,Public,1,100015,26/08/2025,0.0
224,Public,1,100015,27/08/2025,0.0
225,Private,1,100016,14/08/2025,0.0
226,Private,1,100016,15/08/2025,0.0
227,Private,1,100016,16/08/2025,0.0
228,Private,1,100016,17/08/2025,0.0
229,Private,1,100016,18/08/2025,0.0
230,Private,1,100016,19/08/2025,0.0
231,Private,1,100016,20/08/2025,0.0
232,Private,1,100016,21/08/2025,0.0
233,Private,1,100016,22/08/2025,0.0
234,Private,1,100016,23/08/2025,0.0
235,Public,1,100016,24/08/2025,0.0
236,Public,1,100016,25/08/2025,0.0
237,Public,1,100016,26/08/2025,0.0
238,Public,1,100016,27/08/2025,0.0
239,Private,1,100017,14/08/2025,0.0
240,Private,1,100017,15/08/2025,0.0
241,Private,1,100017,16/08/2025,0.0
242,Private,1,100017,17/08/2025,0.0
243,Private,1,100017,18/08/2025,0.0
244,Private,1,100017,19/08/2025,0.0
245,Private,1,100017,20/08/2025,0.0
246,Private,1,100017,21/08/2025,0.0
247,Private,1,100017,22/08/2025,0.0
248,Private,1,100017,23/08/2025,0.0
249,Public,1,100017,24/08/2025,0.0
250,Public,1,100017,25/08/2025,0.0
251,Public,1,100017,26/08/2025,0.0
252,Public,1,100017,27/08/2025,0.0
253,Private,1,100018,14/08/2025,0.0
254,Private,1,100018,15/08/2025,0.0
255,Private,1,100018,16/08/2025,0.0
256,Private,1,100018,17/08/2025,0.0
257,Private,1,100018,18/08/2025,0.0
